text,generated
"Candidate what do you think of when I say that word well If I had to guess a said president. President that when  each party selects a president that the people  trust to help this Nation. candidates focuse their campaign on efforts onthe toss up state. In the article they said Nixonin 1968 and Clintin in 1992 both had only a43 percent plurality of the popular votes. No c candidate win majority.

Did you know that under 23rdAmendment of the constistution the district of columbia is allocated 3 electors and treated like a state for purposes of the electoral college. That what the article told me in paragraph4. Every candidate that is running for president has his or her own group of electors. the majority of 270 electoral votes is rerequired to elect the president. Everyone has to vote if want somebody that own your side. If don't then your voice will never be heard so you have speak up and vote. For who should be president of the state. So voting is a big deal so you make sure that you be heard.                             ",0
"Ever since it was first invented, the automobile has proved to be very important and practical for people all over the globe. In the current century, however, the demand for the car has begun to see a potential disappearance, as people are beginning to discover that there are advantages to minimizing their dependence on their vehicles. Limiting car usage has several very influential advantages, such as increasing mental health, reducing air pollution, and eliminating problems associated with traffic.

First of all, studies have proven that the use of automobiles is linked to the levels of stress and unhappiness that people feel. Source one elaborates on this by discussing a city in Germany that decided to give up cars. It quotes a woman who says that when she had a car she was always tense, but living in Vauban the car free city has made her much happier. She is able to walk or bike everywhere that she needs to be in town. This opportunity to increase happiness is also mentioned in source three, which quotes a businessman who says that limiting car usage is ""a good opportunity to take away stress."" The alternative he choses is to ride a tandem bike with his wife. This allows for more bonding with his wife as well as increasing their physical health, which plays a vital role in mental health as well.

As of recently, the impact that cars have on the environment has gained more attention as well as increased concern. All vehicles emit greenhouse gasses, which are very harmful to the environment, causing smog and damage to the atmosphere. According to source one, limiting the use of passenger cars could reduce total greenhouse gas emissions by up to 50 percent. Source two describes how the accumulation of smog in Paris became so bad that it caused official bans on the use of cars. It took an entire week of restricting car usage to get the smog to clear up. Source four also agrees that the results of limiting car usage would have beneficial implications for carbon emissions and the environment. Source one mentions that as a result of all of this, the Enviromental Protection Agency in the United States is promoting car reduced communities.

Lastly, limiting car usage eliminates all problems associated with traffic. Traffic creates many problems for people, from increasing danger to wasting time. Limiting car usage would immidately reduce traffic substantially. This could prevent people from being stuck on their way home during rushhour every day. Having cars speeding by, in residential areas especially, increases the level of danger for pedestrians. There are many casualties that happen every year due to automobile accidents. Limiting car usage would easily eliminate this problem. It would also eliminate the problem of drunk driving and the dangers associated with it. Source four supports this claim by stating that limiting car usage would in fact improve safety.

Limiting car usage has many advantages, and therefore should definately be taken into consideration. Doing this would not only increase mental health and wellbeing, but would also save time, conserve resources, lower emissions, and improve safety.",0
"Have you ever come back to school after a long summer break and forgot everything you previously learned? Than you probably had an easy summer project if you had one at all. Many teachers let their students off easy for summer thinking they need a break, but what they are really doing is setting them up for failure for the following year. Although some may believe otherwise student preparedness, teacher support, and students using previously learned information prove that teacher should design summer projects.

If a teacher designs a summer assignment it will most likely introduce students to things they will learn the next year. This will provide students with an opportunity to be ahead at the start of the following year and make it easier for teachers too. Teachers would not have to spend as much time teaching the students things they already learned, they can just review it and go onto harder material. This will also give students a base for the start of the following year and they will already know what to expect. Some people believe that students should have a break during the summer although I agree, you are going to have to do an assignment even if it is made by students or the teacher, so why not get a head start on the next year. This will also allow students to pull from knowledge they already have.

A good summer assignment will allow students to use what they learned the previous year. If a student is able to use what they already learned their is a much higher chance that they wont forget it. One of the worst feelings in school is when the teacher is reviewing things you need to know from the previous year and you forgot most if not all of it. Why would you want to take a class for a year and not retain the information you need to know. Doing an assignment in the summer, even if it does not pertain to the information you learned will keep your brain active and give you a better chance of remembering what you learned. Some people would say that if a student really learned the information in school than they do not need a summer assignment, But many students do not learn everything to the extent that they need to to be able to remember it the next year. One of the main reasons students dont complete summer projects is because they cant. If the students create the assignment than the teacher can not help.

If a teacher creates a summer assignment than they can give the students videos or websites that can help them. This can support the student since there will be no teacher present to help them. If students create the project than the teacher will not be able to help them at all. If students create the project some students may believe the project that they created is easy, but it is difficult for some students to learn without the support of a teacher or video. Teachers creating the assignment will make it so they can complete their project in a timely manner and still enjoy summer. Some people would say that students should have easy summer assignments that dont require assistance but this is proven wrong every year by students who do not remember previous information.

Many students do not do the summer assignment assigned to them or cram it all to the last minute because it is normally just busy work. If summer projects were assigned by teachers than they would most likely be work to help you with the upcoming year and help you remember. If this was the case than most productive students would realize the value of them and work on them in a timely manner. If students did their part by completing the assignment and teachers gave out assignments that help summer projects will no longer be looked at as busy work but as a tool to recall information and give you a head start. If students created the assignment than it would continue being looked at as busy work and a waste of time.",0
"Imagine you receiving advice from someone, but you go ask other people because you're not sure if it's considerable. What I would do in this situation is to not ask one person for advice, I would go to other people and listen to their opinions. Just by listening to different people's perspective you gain more information to help you find a reliable solution. For me, that is the correct choice because it makes more sense to absorb others advice to find a better choice. I believe everyone has the opportunity to seek others opinions to make a better choice by involving others, being curious, and relying on your peers.

By involving others, you can learn a lot of new things just by including multiple opinions. To involve other people you can start off by asking for their point of view, so they can end up changing your mind about your situation for something better. You could also involve others by using their opinion, and ask different people about that person's perspective, and see which one would lead you to make a final choice. Finally, another way to involve others to seek a better choice is by expressing your own opinion, and talking to another person to observe your opinion. I find these ways better to trust, so you don't have to involve only one person.

Being curious helps you find a better belief about a situation you are not sure of. To be curious you could go up to people for advice, and possibly give them options to see which one has a better meaning. On the other hand, you could be curious by listening to what is important or not, and by asking for examples if you don't quite understand. Asking multiple questions of the person's advice and finding the pro's and con's of the situation is another way of being curious. Being curious is the key to lead you to the right path to find a better choice.

Relying on your peers can help you find a better understanding of their advice. An example of relying on others is to build trust with a variety of people to make sure you know that person will give you a positive result. Another way to rely on your peers is to make sure you know them well enough to ask them for advice, and so that you don't go the opposite way of making a consistent choice. However, relying on your peers will make you feel more confident about their opinions, and consider making the right choice. Relying on others will help you follow success by considering others perspectives.

Overall, I think listening to other people's point of view is the key to help you make a better choice. Using your peers and your surroundings will get you to the right path. To make better choices, and using the opportunity to seek opinions is to involve others, be curious, and rely on your peers to find your solution. Have you ever thought about talking to other people to find reliable advises? Do you think this will help in the future as well?",0
"If you waych the news chaces are you probelly hear about cars weither it be from car accidents, to drunk driving, to pollutents from cars. And everyone is in uproar about how do we stop all this stuff from happening well it could as simple as using cars less often. This maybe sound shocking to most people who drive but maybe if we use our cars less there would be less accidents or drunk driving and not to mention less greenhouse gasses. Did you know that 50% of greenhouse gas comes from cars in car-intesive areas in the United States. Thats right 50% of those greenhouse gasses come for your car. I'm not saying we should stop driving cars in general but make an effort to use them less. Like in Bogota Columbia they have a day dedicated to not driving cars and instead using public trainsportation. From doing this they improved there sidewalks, reduced traffic and even upscale restaurants and shopping centers sprouted up. And every year everyone is happy and very ethustiastic about the day. Not only does the less usage of cars make people happy it also makes the likelyhood of car accidents very low since there are no cars on the road.    ",0
"Taking participation in the Seagoing Cowboys program is more of a different world then an adventure! This program helps you think of the people in need and how much you have helped them. Participating in this fun program is a great idea! Just imagine... riding on a boat, mist spraying, cooling you off after a long day herding animals. You have the benefit to see and tour many places that you have never seen before! Trust me. We all need to participate in the Seagoing Cowboys program!

The Seagoing Cowboys program is a great oppertunity to help those in need to recover their food supplies. Doing this can help you be more aware of the people in need and help you know that you have been great help to them. This program hires men to take care of the horses, cows, and mules that were shipped over seas. This can make you come closer to the animals and let them know that you care very much for them!

Not only can you help, but this job does inquire some fun! You have the benifit to see and tour special landmarks and places that you have never seen before! It is quite an adventure! It is an unbelievable oppertunity to see all kinds of sites (especially on the job!).

On board, you can also find time to have fun! When you are on return trips after the animals are unloaded, you can play many games such as baseball, volleyball, and table-tennis in the empty holds where the animals stay. Fencing, reading, whittling, fun games, and boxing make some boat trips exciting!

Overall, taking part in the seagoing Cowboys program is an excilent oppertunity! It is more of a new world rather then just an site-seeing adventure! Taking part in this activity would make you feel better about helping not just your community, but citizens beyond your community, too! Helping those who need your support is quite the heroic thing to do!   ",0
"There can be many advantages and disadvantages to having a car but the advantages to not having a card greatly outweighs having one. There can be many reasons why not having a car is great but the main three are it reduces pollution, reduces stress, and having less cars reduces the noice pollution in a city. Can you imagine a place with no cars?

First off the main advantage of limiting car use is less pollution. Cars account for 12% of gas emissions in Europe and 50% in America. Without cars the air would be much cleaner and the Smog would be gone over the cities. London had so much smog over the city that they had to cut car use in half with all of their citizens. After only five days most of the smog was gone and people could go back to driving. Imagine if we had everycar in the world stopped driving we could get rid of most of the smog in less than one week.

Another great point on how limiting car use can help is it will reduce the stress greatly in peoples lives. In the first source a man from Vauban Germany said, ""When I had a Car i was always tense. I'm much happier this way."" Also another man from Columbia said during a day without cars, ""Its a good opportunity to take away stress..."" Most stress comes from roadrage or getting stuck in a major traffic jam. Imagine how stresless people will be without cars Finnaly reducing car use will greatly reduce the noice pollution everywhere. When you go out side whats the first thing you hear? People? children? NO, all you can hear is the engine of cars everywhere. In a city where they banned most cars the sound of childrean drown out the occasional car engine not the other way around. Can you imagine how peacefull that would be not waking up to the sound of cars?

In conclusion having a car can have its advantages but limiting there use would be far better for people. It would help stop air pollution, reduce stress, and reduce noice pollution in cities and suburbs.",0
"The people is a envition a future when no one buys cars because a tranportation a system and where fleets of driverless a cars a puclic transports taxi system. The cars forcess would use a taxi is flexibility. He a believes a cars is fundamentally change the world. A cars a have television and movies have a long that cars could drive themselves. A Google has a had cars that could drive a independently a under is a specific condition. The companies are a making computersdriven cars. Is a many futurist believed the key self dirving cars someday so samarted roads. In 1950s, Genral Motors created a concept special test track. A electrical can that sent radio singals the recieve for end of the cars. A Googel modified Toyota Pirus uses position-estimation a sensors of a video camara mounted. A GPS receiver sensor in the cars. The important tecnology in this spining sensor roof. The sensor are the nothing new of a course because creation of detect and respond out control. The fraving assisance still seem a long way from the dream a of calling a driveless the cab to the wherever. The sensors werent the computers werent there and the mapping as there. The mos driving laws a focus a on keeping drivers passengers and pedestrians safe,alert drivers. A control California Navada, Florida and the District of Columbia have led country. Still even if traffic laws a change,new laws will neede a cover liability in the accident. If the technology fails and ingured. Automarkers are continuing their work on the assumtion thta the problems ahead solved.                                                                                                    ",0
"Dear Principle,

The Policy 1 think would be better to use is policy 1 which states "" Allow students to bring phones to school and use them during lunch periods and other free times, as long as the phones are turned off during class time"" because, there will be less students using phones in the class room, not as many students will be sent to the office, and is better then policy 2 ( no phones at all).

Policy 1 would be a better solution for the cell phones because, less students will be using them in the classrooms. By having less students using them in the classrooms more will be paying attention to what the lesson is, instead of focusing on how to make sure the teacher doesn't see the phone they are trying to hide. Having the students pay attention in class it will raise there grade. By having the phones out during lunch or any free time gives the students the advantage to reach a parent if needed, to remind or ask a question.

Letting the students have their phones out during lunch or free time is a better solution for the phone problem because, not as many students will be sent to the office for phone issues. Most of the time when a student is seen with a phone the teacher takes it. The student is then angry and ready to fight back for their property. As the teacher and student fight back and fourth the teacher then decides to send the student out for talking back and being disrespectful. Not only now do you have a child who is mad because they lost their phone but is in more trouble for being rude.

Policy 1 is a better solution than having no phones at all because we are now back to the beginning. Now we have student sneaking their phones, being uncivil, and lets add on angry parents. Now we have parents who have to take time out of their work day to come and pick their child's phone up, or having to talk with the teacher about what had happen. So all in all we have a student who lost their phone, sent to the office, and now is in trouble at home, all because he/she couldn't wait to say something.

As you can hopefully see policy 1 is a much better discovery than policy 2 which states no phones allowed. In conclusion by using policy 1 you have a better day and so does your student! So make the switch to policy 1!",0
"Schools that have the option to attend classes online or video conferencing, are more likely to improve students learning. Since 2009 schools started to provide this program to the community. Most of the families on the area thought this program was useless, but families from far distance thought this was a brilliant idea. This programs took place at Generic_School. There were around ninety-two students involve. The first year was a success, and so the second one.

After that the numbers of students started to decrease. Why there were less students involve to the program?. What can we do to fix this issue? Why people from the area thought this was useless?. Why people from far distance thought this was a brilliant idea?.

When this program for students to attend classes online or video conferencing took place at Generic_School on September 2, 2009. There were ninety-two students involve, all of them liked this program but only the 70% of them joined for the next year. The second year only sixty-five joined the classes online. The comments they left were; ""It's nice to be home and take classes online, and its awesome to no worry about being late to class, but as a student i've love to share ideas, thoughts with other students"". Since the third year of this program the number of students decrease to 10%. Since 2011 about twenty students joined the online program. The numbers decrease because students felt that being home all day was boring. No being able to share ideas with other students or get engage with them. Students thought they needed more activities and less standing in only one place.

There are some ways to get students interested again to the program. On the online classes there are choices before joining any class. Those choices are that if she/he is willing to go out and do projects with others students that are taking the same classes as them. They are able to chat with them and get information,and choose the day of the meeting. But if they don't want they could either do video chat with other students or just a voice chat. Other options could be that students will have the option to visit the school once a week or once a month. If this options works, for sure more and more students will be involve.

Many folks from the area in 2009 thought that this online classes were useless, because since it was opened for anyone less and less students will attend to school. Some of those families even came to talk to the principal and said "" For many years our goal is to get students to attend to school, and with program out our goal will fail"", as a respond. The principal said "" For sure, we want as many students possible to attend school, but for some reasons not all them can make to school, and as a benefit and an opportunity for others to learn we decide to make this program"". The principal made many reunions with parents that disagree with this idea. After a month must of them accepted and understood the goal of the program.

People from far distance thought this was a brilliant idea, because they will not have to travel long time of terms everyday to get to school. Money will be save, and a great and big opportunity for their kids to learn from home. Families from far distance came together and as a act of greatness, they made donation to the school for actives such as soccer, track or others. The school knew that they really made the families happy and that was their goal. Happiness and make everyone comfortable in their leaning.

Schools should always look out for those that don't have the opportunity to travel to school, or live far from schools. Those who travel or cant travel to school because of the distance they have between their home and school, now the opportunity to save money, prepare their self to a better feature. Online or video conferencing classes are a really a big way to start helping the community.

After that program and if it became a success, Generic_City should see what are other ways they can do to help the community and make their learning easier. So that many teenagers will success in life.",0
